time_s,throughput_c4,throughput_c4_ci_lower,throughput_c4_ci_upper,throughput_c8,throughput_c8_ci_lower,throughput_c8_ci_upper,throughput_c16,throughput_c16_ci_lower,throughput_c16_ci_upper,throughput_c32,throughput_c32_ci_lower,throughput_c32_ci_upper,throughput_c64,throughput_c64_ci_lower,throughput_c64_ci_upper,txns_c4,txns_c4_ci_lower,txns_c4_ci_upper,txns_c8,txns_c8_ci_lower,txns_c8_ci_upper,txns_c16,txns_c16_ci_lower,txns_c16_ci_upper,txns_c32,txns_c32_ci_lower,txns_c32_ci_upper,txns_c64,txns_c64_ci_lower,txns_c64_ci_upper
21,1317562.421,1235683.504,1399441.338,1203089.303,1181776.620,1224401.986,1270866.324,1220098.458,1321634.189,1282616.657,1267261.177,1297972.138,1295982.835,1274011.029,1317954.641,27672231.600,25953625.263,29390837.937,25269929.000,24819158.918,25720699.082,26690706.200,25624776.912,27756635.488,26943800.800,26619306.709,27268294.891,27234735.800,26771250.585,27698221.015
22,1324617.308,1242987.003,1406247.613,1208181.627,1187285.485,1229077.768,1273453.216,1223008.963,1323897.469,1284058.941,1268636.444,1299481.438,1296827.587,1274450.041,1319205.132,29145120.000,27350148.374,30940091.626,26585209.600,26122278.834,27048140.366,28018564.400,26908990.823,29128137.977,28258801.800,27918249.012,28599354.588,28553424.600,28052720.376,29054128.824
23,1331546.790,1248995.054,1414098.526,1212278.686,1191556.273,1233001.099,1275793.191,1225923.859,1325662.523,1285206.799,1269465.105,1300948.493,1298403.633,1275905.547,1320901.719,30629210.200,28731477.146,32526943.254,27887973.800,27408270.910,28367676.690,29345917.800,28199123.897,30492711.703,29569356.800,29206022.805,29932690.795,29886889.200,29361172.273,30412606.127
24,1340176.607,1256328.070,1424025.143,1216123.757,1195926.097,1236321.418,1277714.531,1227901.560,1327527.503,1285839.703,1270497.263,1301182.143,1299088.827,1277362.839,1320814.816,32168120.200,30156894.815,34179345.585,29192641.000,28704822.449,29680459.551,30667975.600,29472757.729,31863193.471,30870071.000,30500190.266,31239951.734,31201970.000,30672355.469,31731584.531
25,1346449.930,1262212.326,1430687.533,1219506.053,1200077.057,1238935.050,1279421.345,1229872.183,1328970.507,1287638.676,1272232.582,1303044.770,1300064.496,1278751.735,1321377.257,33665233.800,31560457.103,35770010.497,30493491.000,30004762.030,30982219.970,31988442.600,30750005.262,33226879.938,32201323.000,31814590.162,32588055.838,32525938.400,31985068.564,33066808.236
26,1353370.629,1267712.918,1439028.339,1223245.710,1204530.347,1241961.074,1280788.236,1231973.030,1329603.442,1288044.090,1271737.601,1304350.579,1300623.010,1279574.519,1321671.501,35191757.200,32965841.181,37417673.219,31810524.400,31320890.809,32300157.991,33303608.000,32034872.507,34572343.493,33502039.400,33075176.957,33928901.843,33841590.200,33286684.837,34396495.563
27,1358112.665,1273005.772,1443219.559,1226041.851,1207366.146,1244717.555,1282227.539,1233965.038,1330490.039,1287673.253,1271695.575,1303650.932,1301814.319,1281495.279,1322133.359,36673265.800,34376573.711,38969957.889,33109352.000,32602044.035,33616659.965,34623374.400,33320778.499,35925970.301,34780216.200,34345915.039,35214517.361,35174932.800,34618643.924,35731221.676
28,1362366.947,1276673.572,1448060.322,1228897.640,1210168.921,1247626.359,1283302.909,1235417.078,1331188.739,1288496.685,1272859.920,1304133.450,1302725.039,1282237.922,1323212.156,38150746.600,35752612.136,40548881.064,34415453.200,33887995.440,34942910.960,35936019.400,34595759.199,37276279.601,36091150.600,35650389.525,36531911.675,36502967.800,35920907.576,37085028.024
29,1366523.574,1281647.646,1451399.501,1231100.347,1212568.700,1249631.994,1284302.688,1236985.346,1331620.029,1288995.634,1272898.898,1305092.370,1303447.598,1283556.503,1323338.692,39634270.400,37174231.912,42094308.888,35708358.400,35167905.945,36248810.855,37248405.800,35876739.711,38620071.889,37394625.800,36924851.256,37864400.344,37826944.400,37241235.015,38412653.785
30,1370960.379,1286695.629,1455225.128,1233625.834,1214844.012,1252407.656,1285352.794,1238719.345,1331986.242,1289660.386,1273980.306,1305340.466,1303722.001,1282787.829,1324656.174,41134260.200,38607618.777,43660901.623,37015389.600,36448930.230,37581848.970,38564302.600,37165838.899,39962766.301,38704124.000,38229968.560,39178279.440,39139457.400,38503469.315,39775445.485
